Count of wave 1 start,Column Labels,,,,,,,,,,
Row Labels,cc,cp,cr,cs,ds,gp,ps,tp,ts,(blank),Grand Total
(blank),,,,,,,,,,,
09-Aug,,,,,,1,,,,,1
16-Aug,,,,,1,,,,,,1
17-Aug,,,,,,1,1,,,,2
18-Aug,,,,,,,,3,3,,6
19-Aug,,,7,7,1,,7,4,4,,30
20-Aug,,,1,1,,,2,,,,4
21-Aug,,,,,1,,,1,1,,3
22-Aug,,,,,1,,,1,1,,3
23-Aug,,,2,2,,,,,,,4
24-Aug,,,,,1,,1,1,1,,4
25-Aug,,1,,,1,,,1,1,,4
26-Aug,,1,1,1,1,,2,1,1,,8
27-Aug,,,,,2,,1,2,2,,7
29-Aug,2,1,,,,,1,,,,4
30-Aug,2,6,1,1,,,,,,,10
31-Aug,4,,,,1,1,1,1,1,,9
01-Sep,,1,,,1,,,,,,2
02-Sep,6,3,,,2,1,1,,,,13
04-Sep,,,,,1,1,,,,,2
05-Sep,,,,,,1,,,,,1
06-Sep,,,,,,1,,,,,1
Grand Total,14,13,12,12,14,7,17,15,15,,119
