areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2022-05-08,,22127666
overview,United Kingdom,K02000001,2022-05-07,,22127666
overview,United Kingdom,K02000001,2022-05-06,8442,22127666
overview,United Kingdom,K02000001,2022-05-05,10031,22119224
overview,United Kingdom,K02000001,2022-05-04,11574,22109193
overview,United Kingdom,K02000001,2022-05-03,13222,22097619
overview,United Kingdom,K02000001,2022-05-02,11844,22084397
overview,United Kingdom,K02000001,2022-05-01,8995,22072553
overview,United Kingdom,K02000001,2022-04-30,8344,22063558
overview,United Kingdom,K02000001,2022-04-29,9980,22055214
overview,United Kingdom,K02000001,2022-04-28,11566,22045234
overview,United Kingdom,K02000001,2022-04-27,13030,22033668
overview,United Kingdom,K02000001,2022-04-26,14539,22020638
overview,United Kingdom,K02000001,2022-04-25,17089,22006099
overview,United Kingdom,K02000001,2022-04-24,14709,21989010
overview,United Kingdom,K02000001,2022-04-23,13194,21974301
overview,United Kingdom,K02000001,2022-04-22,15682,21961107
overview,United Kingdom,K02000001,2022-04-21,18429,21945425
overview,United Kingdom,K02000001,2022-04-20,21423,21926996
overview,United Kingdom,K02000001,2022-04-19,25808,21905573
overview,United Kingdom,K02000001,2022-04-18,25161,21879765
overview,United Kingdom,K02000001,2022-04-17,20126,21854604
overview,United Kingdom,K02000001,2022-04-16,19898,21834478
overview,United Kingdom,K02000001,2022-04-15,21581,21814580
overview,United Kingdom,K02000001,2022-04-14,26588,21792999
overview,United Kingdom,K02000001,2022-04-13,31626,21766411
overview,United Kingdom,K02000001,2022-04-12,33687,21734785
overview,United Kingdom,K02000001,2022-04-11,37306,21701098
overview,United Kingdom,K02000001,2022-04-10,30891,21663792
overview,United Kingdom,K02000001,2022-04-09,27834,21632901
overview,United Kingdom,K02000001,2022-04-08,32909,21605067
overview,United Kingdom,K02000001,2022-04-07,38623,21572158
overview,United Kingdom,K02000001,2022-04-06,44666,21533535
overview,United Kingdom,K02000001,2022-04-05,49045,21488869
overview,United Kingdom,K02000001,2022-04-04,53736,21439824
overview,United Kingdom,K02000001,2022-04-03,42160,21386088
overview,United Kingdom,K02000001,2022-04-02,37566,21343928
overview,United Kingdom,K02000001,2022-04-01,47452,21306362
overview,United Kingdom,K02000001,2022-03-31,54735,21258910
overview,United Kingdom,K02000001,2022-03-30,73614,21204175
overview,United Kingdom,K02000001,2022-03-29,80083,21130561
overview,United Kingdom,K02000001,2022-03-28,92823,21050478
overview,United Kingdom,K02000001,2022-03-27,68294,20957655
overview,United Kingdom,K02000001,2022-03-26,61430,20889361
overview,United Kingdom,K02000001,2022-03-25,72421,20827931
overview,United Kingdom,K02000001,2022-03-24,82862,20755510
overview,United Kingdom,K02000001,2022-03-23,94146,20672648
overview,United Kingdom,K02000001,2022-03-22,99036,20578502
overview,United Kingdom,K02000001,2022-03-21,109282,20479466
overview,United Kingdom,K02000001,2022-03-20,81045,20370184
overview,United Kingdom,K02000001,2022-03-19,67378,20289139
overview,United Kingdom,K02000001,2022-03-18,75250,20221761
overview,United Kingdom,K02000001,2022-03-17,82793,20146511
overview,United Kingdom,K02000001,2022-03-16,91736,20063718
overview,United Kingdom,K02000001,2022-03-15,93617,19971982
overview,United Kingdom,K02000001,2022-03-14,99807,19878365
overview,United Kingdom,K02000001,2022-03-13,75682,19778558
overview,United Kingdom,K02000001,2022-03-12,62011,19702876
overview,United Kingdom,K02000001,2022-03-11,66992,19640865
overview,United Kingdom,K02000001,2022-03-10,70462,19573873
overview,United Kingdom,K02000001,2022-03-09,73473,19503411
overview,United Kingdom,K02000001,2022-03-08,70062,19429938
overview,United Kingdom,K02000001,2022-03-07,68502,19359876
overview,United Kingdom,K02000001,2022-03-06,48988,19291374
overview,United Kingdom,K02000001,2022-03-05,38717,19242386
overview,United Kingdom,K02000001,2022-03-04,41364,19203669
overview,United Kingdom,K02000001,2022-03-03,43715,19162305
overview,United Kingdom,K02000001,2022-03-02,46137,19118590
overview,United Kingdom,K02000001,2022-03-01,44742,19072453
overview,United Kingdom,K02000001,2022-02-28,44603,19027711
overview,United Kingdom,K02000001,2022-02-27,31348,18983108
overview,United Kingdom,K02000001,2022-02-26,25075,18951760
overview,United Kingdom,K02000001,2022-02-25,27816,18926685
overview,United Kingdom,K02000001,2022-02-24,30588,18898869
overview,United Kingdom,K02000001,2022-02-23,36443,18868281
overview,United Kingdom,K02000001,2022-02-22,39118,18831838
overview,United Kingdom,K02000001,2022-02-21,45092,18792720
overview,United Kingdom,K02000001,2022-02-20,37668,18747628
overview,United Kingdom,K02000001,2022-02-19,34644,18709960
overview,United Kingdom,K02000001,2022-02-18,33220,18675316
overview,United Kingdom,K02000001,2022-02-17,44672,18642096
overview,United Kingdom,K02000001,2022-02-16,51522,18597424
overview,United Kingdom,K02000001,2022-02-15,52457,18545902
overview,United Kingdom,K02000001,2022-02-14,54668,18493445
overview,United Kingdom,K02000001,2022-02-13,41723,18438777
overview,United Kingdom,K02000001,2022-02-12,37408,18397054
overview,United Kingdom,K02000001,2022-02-11,44527,18359646
overview,United Kingdom,K02000001,2022-02-10,52254,18315119
overview,United Kingdom,K02000001,2022-02-09,64271,18262865
overview,United Kingdom,K02000001,2022-02-08,69606,18198594
overview,United Kingdom,K02000001,2022-02-07,76449,18128988
overview,United Kingdom,K02000001,2022-02-06,60519,18052539
overview,United Kingdom,K02000001,2022-02-05,52276,17992020
overview,United Kingdom,K02000001,2022-02-04,63164,17939744
overview,United Kingdom,K02000001,2022-02-03,76571,17876580
overview,United Kingdom,K02000001,2022-02-02,88379,17800009
overview,United Kingdom,K02000001,2022-02-01,93738,17711630
overview,United Kingdom,K02000001,2022-01-31,104894,17617892
overview,United Kingdom,K02000001,2022-01-30,87522,17512998
overview,United Kingdom,K02000001,2022-01-29,73470,17425476
overview,United Kingdom,K02000001,2022-01-28,83993,17352006
overview,United Kingdom,K02000001,2022-01-27,96144,17268013
overview,United Kingdom,K02000001,2022-01-26,108636,17171869
overview,United Kingdom,K02000001,2022-01-25,113127,17063233
overview,United Kingdom,K02000001,2022-01-24,127253,16950106
overview,United Kingdom,K02000001,2022-01-23,102313,16822853
overview,United Kingdom,K02000001,2022-01-22,81650,16720540
overview,United Kingdom,K02000001,2022-01-21,91514,16638890
overview,United Kingdom,K02000001,2022-01-20,100239,16547376
overview,United Kingdom,K02000001,2022-01-19,111651,16447137
overview,United Kingdom,K02000001,2022-01-18,118677,16335486
overview,United Kingdom,K02000001,2022-01-17,131383,16216809
overview,United Kingdom,K02000001,2022-01-16,98009,16085426
overview,United Kingdom,K02000001,2022-01-15,77884,15987417
overview,United Kingdom,K02000001,2022-01-14,86245,15909533
overview,United Kingdom,K02000001,2022-01-13,96323,15823288
overview,United Kingdom,K02000001,2022-01-12,103145,15726965
overview,United Kingdom,K02000001,2022-01-11,115181,15623820
overview,United Kingdom,K02000001,2022-01-10,132678,15508639
overview,United Kingdom,K02000001,2022-01-09,95717,15375961
overview,United Kingdom,K02000001,2022-01-08,93564,15280244
overview,United Kingdom,K02000001,2022-01-07,120249,15186680
overview,United Kingdom,K02000001,2022-01-06,172961,15066431
overview,United Kingdom,K02000001,2022-01-05,222099,14893470
overview,United Kingdom,K02000001,2022-01-04,275601,14671371
overview,United Kingdom,K02000001,2022-01-03,229829,14395770
overview,United Kingdom,K02000001,2022-01-02,181018,14165941
overview,United Kingdom,K02000001,2022-01-01,118175,13984923
overview,United Kingdom,K02000001,2021-12-31,188511,13866748
overview,United Kingdom,K02000001,2021-12-30,236537,13678237
overview,United Kingdom,K02000001,2021-12-29,272745,13441700
overview,United Kingdom,K02000001,2021-12-28,212486,13168955
overview,United Kingdom,K02000001,2021-12-27,194975,12956469
overview,United Kingdom,K02000001,2021-12-26,116258,12761494
overview,United Kingdom,K02000001,2021-12-25,70355,12645236
