areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,03/05/2022,992,854363
overview,United Kingdom,K02000001,02/05/2022,927,853371
overview,United Kingdom,K02000001,01/05/2022,898,852444
overview,United Kingdom,K02000001,30/04/2022,815,851546
overview,United Kingdom,K02000001,29/04/2022,987,850731
overview,United Kingdom,K02000001,28/04/2022,1060,849744
overview,United Kingdom,K02000001,27/04/2022,1213,848684
overview,United Kingdom,K02000001,26/04/2022,1233,847471
overview,United Kingdom,K02000001,25/04/2022,1272,846238
overview,United Kingdom,K02000001,24/04/2022,1182,844966
overview,United Kingdom,K02000001,23/04/2022,1198,843784
overview,United Kingdom,K02000001,22/04/2022,1354,842586
overview,United Kingdom,K02000001,21/04/2022,1435,841232
overview,United Kingdom,K02000001,20/04/2022,1504,839797
overview,United Kingdom,K02000001,19/04/2022,1619,838293
overview,United Kingdom,K02000001,18/04/2022,1658,836674
overview,United Kingdom,K02000001,17/04/2022,1485,835016
overview,United Kingdom,K02000001,16/04/2022,1445,833531
overview,United Kingdom,K02000001,15/04/2022,1636,832086
overview,United Kingdom,K02000001,14/04/2022,1888,830450
overview,United Kingdom,K02000001,13/04/2022,2105,828562
overview,United Kingdom,K02000001,12/04/2022,2243,826457
overview,United Kingdom,K02000001,11/04/2022,2108,824214
overview,United Kingdom,K02000001,10/04/2022,1994,822106
overview,United Kingdom,K02000001,09/04/2022,1903,820112
overview,United Kingdom,K02000001,08/04/2022,1993,818209
overview,United Kingdom,K02000001,07/04/2022,2263,816216
overview,United Kingdom,K02000001,06/04/2022,2434,813953
overview,United Kingdom,K02000001,05/04/2022,2589,811519
overview,United Kingdom,K02000001,04/04/2022,2446,808930
overview,United Kingdom,K02000001,03/04/2022,2305,806484
overview,United Kingdom,K02000001,02/04/2022,2081,804179
overview,United Kingdom,K02000001,01/04/2022,2134,802098
overview,United Kingdom,K02000001,31/03/2022,2426,799964
overview,United Kingdom,K02000001,30/03/2022,2682,797538
overview,United Kingdom,K02000001,29/03/2022,2562,794856
overview,United Kingdom,K02000001,28/03/2022,2560,792294
overview,United Kingdom,K02000001,27/03/2022,2247,789734
overview,United Kingdom,K02000001,26/03/2022,2137,787487
overview,United Kingdom,K02000001,25/03/2022,2246,785350
overview,United Kingdom,K02000001,24/03/2022,2353,783104
overview,United Kingdom,K02000001,23/03/2022,2498,780751
overview,United Kingdom,K02000001,22/03/2022,2435,778253
overview,United Kingdom,K02000001,21/03/2022,2279,775818
overview,United Kingdom,K02000001,20/03/2022,2036,773539
overview,United Kingdom,K02000001,19/03/2022,2060,771503
overview,United Kingdom,K02000001,18/03/2022,1964,769443
overview,United Kingdom,K02000001,17/03/2022,2082,767479
overview,United Kingdom,K02000001,16/03/2022,2127,765397
overview,United Kingdom,K02000001,15/03/2022,2149,763270
overview,United Kingdom,K02000001,14/03/2022,1988,761121
overview,United Kingdom,K02000001,13/03/2022,1826,759133
overview,United Kingdom,K02000001,12/03/2022,1627,757307
overview,United Kingdom,K02000001,11/03/2022,1737,755680
overview,United Kingdom,K02000001,10/03/2022,1715,753943
overview,United Kingdom,K02000001,09/03/2022,1831,752228
overview,United Kingdom,K02000001,08/03/2022,1700,750397
overview,United Kingdom,K02000001,07/03/2022,1530,748697
overview,United Kingdom,K02000001,06/03/2022,1455,747167
overview,United Kingdom,K02000001,05/03/2022,1249,745712
overview,United Kingdom,K02000001,04/03/2022,1370,744463
overview,United Kingdom,K02000001,03/03/2022,1474,743093
overview,United Kingdom,K02000001,02/03/2022,1456,741619
overview,United Kingdom,K02000001,01/03/2022,1364,740163
overview,United Kingdom,K02000001,28/02/2022,1402,738799
overview,United Kingdom,K02000001,27/02/2022,1101,737397
overview,United Kingdom,K02000001,26/02/2022,1085,736296
overview,United Kingdom,K02000001,25/02/2022,1101,735211
overview,United Kingdom,K02000001,24/02/2022,1225,734110
overview,United Kingdom,K02000001,23/02/2022,1245,732885
overview,United Kingdom,K02000001,22/02/2022,1178,731640
overview,United Kingdom,K02000001,21/02/2022,1241,730462
overview,United Kingdom,K02000001,20/02/2022,1137,729221
overview,United Kingdom,K02000001,19/02/2022,1014,728084
overview,United Kingdom,K02000001,18/02/2022,1098,727070
overview,United Kingdom,K02000001,17/02/2022,1187,725972
overview,United Kingdom,K02000001,16/02/2022,1376,724785
overview,United Kingdom,K02000001,15/02/2022,1372,723409
overview,United Kingdom,K02000001,14/02/2022,1353,722037
overview,United Kingdom,K02000001,13/02/2022,1186,720684
overview,United Kingdom,K02000001,12/02/2022,1149,719498
overview,United Kingdom,K02000001,11/02/2022,1186,718349
overview,United Kingdom,K02000001,10/02/2022,1346,717163
overview,United Kingdom,K02000001,09/02/2022,1426,715817
overview,United Kingdom,K02000001,08/02/2022,1478,714391
overview,United Kingdom,K02000001,07/02/2022,1433,712913
overview,United Kingdom,K02000001,06/02/2022,1350,711480
overview,United Kingdom,K02000001,05/02/2022,1245,710130
overview,United Kingdom,K02000001,04/02/2022,1419,708885
overview,United Kingdom,K02000001,03/02/2022,1492,707466
overview,United Kingdom,K02000001,02/02/2022,1658,705974
overview,United Kingdom,K02000001,01/02/2022,1770,704316
overview,United Kingdom,K02000001,31/01/2022,1661,702546
overview,United Kingdom,K02000001,30/01/2022,1426,700885
overview,United Kingdom,K02000001,29/01/2022,1450,699459
overview,United Kingdom,K02000001,28/01/2022,1529,698009
overview,United Kingdom,K02000001,27/01/2022,1685,696480
overview,United Kingdom,K02000001,26/01/2022,1881,694795
overview,United Kingdom,K02000001,25/01/2022,1899,692914
overview,United Kingdom,K02000001,24/01/2022,1784,691015
overview,United Kingdom,K02000001,23/01/2022,1691,689231
overview,United Kingdom,K02000001,22/01/2022,1439,687540
overview,United Kingdom,K02000001,21/01/2022,1675,686101
overview,United Kingdom,K02000001,20/01/2022,1910,684426
overview,United Kingdom,K02000001,19/01/2022,1991,682516
overview,United Kingdom,K02000001,18/01/2022,2014,680525
overview,United Kingdom,K02000001,17/01/2022,2028,678511
overview,United Kingdom,K02000001,16/01/2022,1943,676483
overview,United Kingdom,K02000001,15/01/2022,1787,674540
overview,United Kingdom,K02000001,14/01/2022,1942,672753
overview,United Kingdom,K02000001,13/01/2022,2166,670811
overview,United Kingdom,K02000001,12/01/2022,2204,668645
overview,United Kingdom,K02000001,11/01/2022,2419,666441
overview,United Kingdom,K02000001,10/01/2022,2458,664022
overview,United Kingdom,K02000001,09/01/2022,2216,661564
overview,United Kingdom,K02000001,08/01/2022,2099,659348
overview,United Kingdom,K02000001,07/01/2022,2047,657249
overview,United Kingdom,K02000001,06/01/2022,2344,655202
overview,United Kingdom,K02000001,05/01/2022,2405,652858
overview,United Kingdom,K02000001,04/01/2022,2400,650453
overview,United Kingdom,K02000001,03/01/2022,2480,648053
overview,United Kingdom,K02000001,02/01/2022,2117,645573
overview,United Kingdom,K02000001,01/01/2022,2076,643456
overview,United Kingdom,K02000001,31/12/2021,2107,641380
overview,United Kingdom,K02000001,30/12/2021,2406,639273
overview,United Kingdom,K02000001,29/12/2021,2635,636867
overview,United Kingdom,K02000001,28/12/2021,2316,634232
overview,United Kingdom,K02000001,27/12/2021,1972,631916
overview,United Kingdom,K02000001,26/12/2021,1547,629944
overview,United Kingdom,K02000001,25/12/2021,1420,628397
overview,United Kingdom,K02000001,24/12/2021,1204,626977
overview,United Kingdom,K02000001,23/12/2021,1406,625773
overview,United Kingdom,K02000001,22/12/2021,1416,624367
overview,United Kingdom,K02000001,21/12/2021,1264,622951
overview,United Kingdom,K02000001,20/12/2021,1222,621687
overview,United Kingdom,K02000001,19/12/2021,1018,620465
overview,United Kingdom,K02000001,18/12/2021,839,619447
overview,United Kingdom,K02000001,17/12/2021,880,618608
overview,United Kingdom,K02000001,16/12/2021,924,617728
overview,United Kingdom,K02000001,15/12/2021,955,616804
overview,United Kingdom,K02000001,14/12/2021,956,615849
overview,United Kingdom,K02000001,13/12/2021,929,614893
overview,United Kingdom,K02000001,12/12/2021,868,613964
overview,United Kingdom,K02000001,11/12/2021,793,613096
overview,United Kingdom,K02000001,10/12/2021,831,612303
overview,United Kingdom,K02000001,09/12/2021,954,611472
overview,United Kingdom,K02000001,08/12/2021,888,610518
overview,United Kingdom,K02000001,07/12/2021,944,609630
